cell_id,mean
513,-0.025554467320042934
514,-0.07376589880268962
515,-0.06933299120989865
516,-0.08790033725326152
517,-0.12237330666736662
518,-0.0796966343184621
519,-0.1045508245058989
520,-0.006803103850492006
521,0.012344008980946394
522,0.040090752254572724
523,0.02221382320299157
524,0.07811824788209616
525,0.05729308707344327
526,0.04560227167633741
527,-0.006035131788351068
528,-0.044769477758626275
529,-0.07259124515211467
530,-6.234963469242949E-4
531,0.07500066962860405
532,-0.0045991313414648
533,0.0036768277398016485
534,0.009281392294933095
535,0.1071480846807211
536,0.031359849503173824
537,0.06993327715044688
538,0.046546720879828515
539,0.014258408958326434
540,-0.0031281842482701852
541,-0.13945514157906194
542,0.005906733079840188
543,0.024913966901750555
544,-0.06531322980910477
545,-0.10156991730878401
546,-0.12046273410465973
547,-0.0660458636102915
548,-0.07183103864718546
549,-0.049715829196472584
550,-0.1645947903032052
551,-0.06445757805110638
552,-0.09211278176457377
553,-0.06745455786824227
554,-0.03464745141408234
555,-0.10620851321610364
556,-0.08662232509170185
557,-0.07992580061903684
558,-0.09263479260134871
559,-0.07204934795117583
560,0.012639896790317804
561,-0.07084555382721548
562,0.03316762290573425
563,0.08017317437267958
564,0.10143067772101343
565,0.11760069028275572
566,0.0015269084573263827
567,-0.06693484412269454
568,-0.07654935250905459
569,0.0014571896934017197
570,-0.026517398911188622
571,-0.11848652591409624
572,0.0872363853496671
573,0.05259103895473253
574,-0.04340975735649271
575,0.10459254154501371
576,0.0661475411269135
577,0.037790608738525515
578,0.03508482189925474
579,0.026897232119433546
580,0.059952068889139266
581,-0.09066589319598037
582,-0.0881495817286969
583,0.020329013104972052
584,0.006217297445174979
585,-0.061888195657130614
586,-0.08909039227874588
587,-0.028050050413083668
588,-0.06545528928965891
589,-0.08388951265377015
590,-0.06523373507618171
591,-0.030326961932672643
592,-0.07013725324294363
593,-0.02156575548115839
594,-0.027949069495520607
595,-0.060732884486068124
596,-0.08040682194996498
597,-0.10673895257585268
598,-0.1061389276297667
599,-0.1574522152909316
600,-0.04940074720490824
601,-0.031022882595425755
602,-0.00812276460787812
603,0.0763119264339235
604,0.1046940080644989
605,0.13246534567050136
606,0.09951875831137988
607,0.04571572306763852
608,-0.021109965897861755
609,-0.030355939940025854
610,-0.007622518405437741
611,-0.00730542337807562
612,0.028762689720556633
613,0.037346947032895414
614,-0.021295801698640662
615,7.153627471114279E-4
616,0.10645287402412965
617,0.038323529083874396
618,0.07048122915434046
619,0.04426822859185911
620,0.0058044221667533525
621,-0.04399818571427363
622,-0.10509468230147881
623,-0.05649200971265042
624,0.05318024594637365
625,-0.005053979906052045
626,-0.014526663482838393
627,0.05966095000678092
628,-0.052310194192470225
629,-0.12301346671776761
630,-0.07150789544535908
631,-0.07873348324103194
632,-0.02003552101894626
633,-0.06348411935529129
634,-0.033756417271034914
635,-0.09358153083345551
636,-0.08446315210237042
637,-0.12373671002084434
638,-0.07250805971734431
639,-0.05164791506042199
640,-0.00572922230845887
641,-0.07556508888123621
642,-0.009726668175464687
643,0.045848579673071314
644,0.0967030159304815
645,0.08629373938115985
646,0.035131191606715996
647,-0.03752401042156001
648,0.02573354384534302
649,0.011112276093368963
650,0.013166686826823978
651,-0.010788259527833174
652,0.0586654569923174
653,-0.038272820497033684
654,0.020604443433496857
655,0.008657390972702054
656,0.008312521707945528
657,0.06570428143960062
658,0.06450385273333864
659,0.06436172513943703
660,0.04507260044575835
661,0.040361023778628914
662,-0.08660315290259929
663,-0.07464484316897904
664,-0.06819969880594073
665,-0.04515326042849791
666,0.042680628490125806
667,0.10519732520377333
668,-0.06456566896044916
669,-0.052326480451489785
670,0.010144137841308857
671,-0.07676506480863246
672,-0.11498176613796715
673,-0.12700306750851142
674,-0.10392390229075543
675,-0.12624641157281383
676,-0.13625891973660176
677,-0.07509712343602047
678,-0.05583262038338521
679,-0.06409113113818897
680,0.04984259736518192
681,0.05929413598132343
682,0.04820229660763151
683,0.03836631550378963
684,0.05826661822290235
685,-0.03752980063785841
686,0.03868718611769009
687,-0.04912736544045396
688,-0.07594642287309024
689,-0.08398135188164851
690,0.006119069713679941
691,0.008238739590885114
692,0.050795815098713844
693,-0.09545115045845085
694,0.024632179430805205
695,0.06719674076733632
696,-0.0027516437193286303
697,0.09843116822268165
698,-4.797174359445008E-4
699,0.02775345779464447
700,0.08725201801856967
701,-0.0633586525760844
702,-0.00791487291311071
703,-0.02748132361846424
704,-0.02941048566923944
705,-0.07964351318026773
706,-0.01925190804793868
707,-0.06462381198875292
708,-0.02968047800003407
709,-0.035137018194218196
710,-0.01510693574029983
711,-0.08734910625631108
712,-0.10209236050014511
713,-0.06335623474006187
714,-0.10251244380952068
715,-0.1936410586365303
716,-0.1117608489123521
717,-0.04638697865393211
718,-0.12472827199658518
719,-0.09281921947000087
720,0.055627984113863146
721,-0.015092961785545577
722,-0.011123842698892593
723,0.09065912890185895
724,0.12438667063134096
725,0.05774534222281268
726,0.07305371895997054
727,-0.06694127432511632
728,-0.06619198167776097
729,-0.027978264381568207
730,0.010676792412610195
731,0.0024159939644998953
732,-0.077704133424314
733,-0.05310164159415986
734,0.04857783973180998
735,0.026115209514976704
736,0.02697397102396932
737,-0.015546568541042343
738,0.009610958143576157
739,0.027648508219417185
740,-0.0554968814025578
741,-0.07314046895573471
742,0.08401522591907766
743,0.04934986080113076
744,0.006471352689317354
745,0.025927142951501933
746,-0.003190662478407321
747,-0.018313959237495868
748,-0.05585233163957952
749,-0.015577921257234827
750,-0.03764048460132317
751,-0.07039333125328835
752,-0.0992667077112196
753,-0.06205423865742809
754,-0.09312542653644212
755,-0.17047285688076316
756,-0.034359734876659234
757,-0.057893946212344005
758,-0.11239720419934739
759,-0.12496134390924882
760,-0.03663873590501019
761,0.022600741103101292
762,0.063976557403932
763,0.09210746543430108
764,0.12623997719864152
765,0.13186468590765907
766,0.0711905356381594
767,0.004893238660526221
768,0.0337843266016231
769,-7.437154781798704E-4
770,-4.404110366749158E-4
771,-0.002197857746690368
772,-0.04403892598143137
773,0.005832711397532568
774,0.03006022990159682
775,0.033653216672504246
776,0.045732849987086745
777,0.04017555307187764
778,0.08530653259463926
779,0.03960778416611475
780,-0.004284207826456625
781,0.07740633329337616
782,0.030442255542012433
783,0.08315458387794769
784,0.025271984836056076
785,-0.015046360771386779
786,-0.0035047697810352526
787,0.006815268961269638
788,-0.1049568313167299
789,-0.10912498856225165
790,-0.09121282258723935
791,-0.061746124122128536
792,-0.07785818529634263
793,-0.060596795449045275
794,-0.05370718486729973
795,-0.13072930551042222
796,-0.08257825707819416
797,-0.05345756684495953
798,-0.08387879803556647
799,-0.06272842588040242
800,-0.04669817911515352
801,0.08516104037122366
802,0.07001576024093127
803,0.10344174444338541
804,0.10563138679181776
805,0.08732300296393754
806,0.1004552522702124
807,0.06858063268438719
808,0.018209783902881395
809,0.03335543221133809
810,-0.02590811656680902
811,-0.030899550639457127
812,0.04137622255268677
813,0.05669275368236174
814,0.02213272067715771
815,0.02669837158202803
816,0.01009836922548854
817,0.08472469868141808
818,0.014024309909334674
819,-0.018651516268747167
820,0.0502811261591105
821,0.07786718886076038
822,0.013674791948220903
823,0.06035861155368381
824,0.07031841512552599
825,0.07115789053470072
826,-0.03201453588593947
827,-0.054427284451024634
828,-0.023840863801713602
829,-0.01923280389517627
830,-0.0499573302572878
831,-0.043270414375982565
832,-0.06842146586858104
833,-0.09027703252748306
834,-0.025074034996683158
835,-0.08019629208533878
836,-0.0723050131419911
837,-0.1234937168322627
838,-0.08920816514241643
839,-0.05624680640424165
840,-0.0241075160975825
841,0.064061779689938
842,0.06458179234364954
843,0.02418773025509442
844,0.010188413338799157
845,0.07617649369631
846,0.04441475573636991
847,0.09479978865202517
848,0.012012619707230986
849,0.006774383427861206
850,0.0042503122893556445
851,-0.0016320217936302216
852,-0.10137206047689716
853,0.007259007682231951
854,0.07024415640018264
855,-0.013499813327076051
856,0.018686264520757587
857,0.06684182851214442
858,0.05026380956511677
859,-0.09889986226936331
