type,lat,lon,activity_score,year,nightlights,ndbi
supermarket,-1.9471641,30.0580267,1,2015,39.92476,0.05951469704160032
bank,-1.9574188999999995,30.1153104,1,2015,24.774372,0.05951469704160032
bank,-1.9487165000000004,30.0638152,1,2015,38.838333,0.05951469704160032
office,-1.9406925,30.0850214,1,2015,18.671816,0.05951469704160032
restaurant,-1.9569632,30.1150529,1,2015,24.774372,0.05951469704160032
bar,-1.9523359,30.057626000000003,1,2015,20.97427,0.05951469704160032
office,-1.9572895,30.104200800000005,1,2015,19.10818,0.05951469704160032
restaurant,-1.9503241,30.059874,1,2015,28.444098,0.05951469704160032
fuel,-1.9501193,30.0610079,1,2015,38.838333,0.05951469704160032
yes,-1.9460684,30.0902935,1,2015,20.043005,0.05951469704160032
fuel,-1.9781261,30.0512169,1,2015,9.348406,0.05951469704160032
fuel,-1.9737514000000005,30.054462099999995,1,2015,10.799793,0.05951469704160032
bank,-1.9487149999999995,30.0613637,1,2015,38.838333,0.05951469704160032
car_wash,-1.9604057,30.1135279,1,2015,27.79873,0.05951469704160032
restaurant,-1.9593150000000004,30.1087845,1,2015,23.709198,0.05951469704160032
bank,-1.973939,30.0543119,1,2015,10.799793,0.05951469704160032
restaurant,-1.9471407,30.0928711,1,2015,21.489737,0.05951469704160032
bar,-1.9739015,30.0542475,1,2015,10.799793,0.05951469704160032
restaurant,-1.9594946,30.1086182,1,2015,23.709198,0.05951469704160032
cafe,-1.9509365,30.0931984,1,2015,24.882708,0.05951469704160032
bakery,-1.9736174,30.054596199999995,1,2015,10.799793,0.05951469704160032
fuel,-1.97247,30.0557871,1,2015,10.028704,0.05951469704160032
bus_station,-1.9613106,30.111845299999995,1,2015,17.90505,0.05951469704160032
hotel,-1.9585287,30.1110243,1,2015,27.79873,0.05951469704160032
cafe,-1.9508422,30.0929962,1,2015,24.882708,0.05951469704160032
pharmacy,-1.95096,30.0929105,1,2015,24.882708,0.05951469704160032
bank,-1.9508346,30.0931823,1,2015,24.882708,0.05951469704160032
fast_food,-1.9534138,30.095101300000003,1,2015,24.163427,0.05951469704160032
bank,-1.9477071,30.061682900000005,1,2015,38.838333,0.05951469704160032
bar,-1.9693203,30.057310500000003,1,2015,16.020905,0.05951469704160032
fuel,-1.9825953,30.1039387,1,2015,8.685258,0.05951469704160032
bus_station,-1.9633551,30.1084261,1,2015,18.030752,0.05951469704160032
office,-1.953467,30.0962668,1,2015,24.753271,0.05951469704160032
cinema,-1.9647942,30.059943000000004,1,2015,17.017933,0.05951469704160032
hotel,-1.9529765,30.096604799999994,1,2015,24.753271,0.05951469704160032
restaurant,-1.9526575,30.096755000000005,1,2015,24.753271,0.05951469704160032
hotel,-1.9562469,30.0626615,1,2015,29.229385,0.05951469704160032
bank,-1.9466349,30.060206800000003,1,2015,45.0858,0.05951469704160032
car_wash,-1.9647379,30.059492299999995,1,2015,17.017933,0.05951469704160032
bank,-1.9805982,30.1047782,1,2015,8.685258,0.05951469704160032
fuel,-1.9468252,30.0585447,1,2015,39.92476,0.05951469704160032
