type,lat,lon,activity_score,nightlights,ndbi,avg_nightlights,avg_ndbi,econ_intensity_pc1,coverage_ratio,cluster_enhanced,cluster_label
place_of_worship,-1.9509535,30.062918,1,47.12303636363636,-0.04523524482621815,47.12303636363636,-0.04523524482621815,1.2617151898734231,2.5738598029040247,1,Peri-urban Emerging
fuel,-1.9454237000000003,30.0577885,1,43.28970181818182,0.23161574336741822,43.28970181818182,0.23161574336741822,4.09973631483978,1.6189806985460047,1,Peri-urban Emerging
fuel,-1.9474263999999994,30.0925578,1,,,0.0,0.0,-0.7078393979599457,3.3426708454407814,1,Peri-urban Emerging
diplomatic,-1.9458,30.103436499999997,1,,,0.0,0.0,-0.7078393979599457,2.8356456009862567,1,Peri-urban Emerging
fuel,-1.9803924000000002,30.2246168,1,,,0.0,0.0,-0.7078393979599457,1.0,1,Peri-urban Emerging
fuel,-1.9597450999999995,30.117151599999996,1,,,0.0,0.0,-0.7078393979599457,0.7677083228166823,1,Peri-urban Emerging
fuel,-1.9847135,30.186774600000003,1,8.933909363636364,0.10779585800378184,8.933909363636364,0.10779585800378184,0.9428223761595426,2.4237157572825816,1,Peri-urban Emerging
fuel,-1.9689973,30.168832599999998,1,,,0.0,0.0,-0.7078393979599457,4.456771811345773,0,Peri-urban Emerging
fuel,-1.9526316,30.241948999999998,1,,,0.0,0.0,-0.7078393979599457,1.0,1,Peri-urban Emerging
marketplace,-1.9814931000000002,30.1044117,1,,,0.0,0.0,-0.7078393979599457,3.646867512617059,1,Peri-urban Emerging
works,-1.9619266999999998,30.0042427,1,,,0.0,0.0,-0.7078393979599457,4.5096889035125844,0,Peri-urban Emerging
supermarket,-1.9654180000000003,30.0805112,1,16.59242109090909,0.0787786315492364,16.59242109090909,0.0787786315492364,1.0251237822179449,3.4213943969474028,1,Peri-urban Emerging
fuel,-1.9676823,30.0826474,1,17.55898927272727,0.0787786315492364,17.55898927272727,0.0787786315492364,1.07570621400712,3.4213943969474028,1,Peri-urban Emerging
place_of_worship,-1.9438321999999995,30.065213600000003,1,,,0.0,0.0,-0.7078393979599457,0.8349472359199729,1,Peri-urban Emerging
place_of_worship,-1.943472,30.064860999999997,1,,,0.0,0.0,-0.7078393979599457,0.525602848216673,1,Peri-urban Emerging
fuel,-1.943855,30.072208900000003,1,39.913129363636365,-0.2575975548144,39.913129363636365,-0.2575975548144,-1.4464137609207228,0.5298695174505429,1,Peri-urban Emerging
works,-1.9155473,30.111594999999994,1,,,0.0,0.0,-0.7078393979599457,1.5674205711896854,1,Peri-urban Emerging
school,-1.9565223,30.145105600000004,1,12.956921363636365,0.16067715700378185,12.956921363636365,0.16067715700378185,1.7337626584367833,1.219755201902496,1,Peri-urban Emerging
company,-1.9455784999999997,30.06013,1,,,0.0,0.0,-0.7078393979599457,12.081070596390873,2,Peri-urban Emerging
