type,geometry,lat,lon,activity_score
pharmacy,POINT (30.1274929 -1.9484178),-1.9484177999999996,30.127492900000004,1
pharmacy,POINT (30.1270406 -1.9481853),-1.9481852999999996,30.127040599999997,1
pharmacy,POINT (30.0570273 -1.946477),-1.946477,30.0570273,1
pharmacy,POINT (30.0568895 -1.9464415),-1.9464415,30.056889500000004,1
pharmacy,POINT (30.0569988 -1.946186),-1.9461859999999995,30.056998800000002,1
pharmacy,POINT (30.0561172 -1.9449893),-1.9449893,30.0561172,1
pharmacy,POINT (30.0541765 -1.9217299),-1.9217298999999999,30.0541765,1
pharmacy,POINT (30.0564252 -1.9271933),-1.9271932999999999,30.0564252,1
pharmacy,POINT (30.056246 -1.9191648),-1.9191648,30.056245999999998,1
pharmacy,POINT (30.1262184 -1.9485866),-1.9485866000000003,30.126218400000003,1
pharmacy,POINT (30.1066491 -1.9581829),-1.9581829,30.106649100000002,1
pharmacy,POINT (30.106718 -1.9582517),-1.9582516999999995,30.106717999999997,1
pharmacy,POINT (30.1106216 -1.9586884),-1.9586884000000002,30.110621599999998,1
pharmacy,POINT (30.1116037 -1.9582155),-1.9582155000000003,30.111603699999996,1
pharmacy,POINT (30.1187459 -1.9537165),-1.9537165,30.118745899999997,1
pharmacy,POINT (30.1168635 -1.9563433),-1.9563433,30.116863499999994,1
pharmacy,POINT (30.0469218 -1.9403749),-1.9403748999999995,30.046921799999993,1
