type,geometry,lat,lon,activity_score
restaurant,POINT (30.0837062 -1.9594743),-1.9594743,30.083706199999998,1
restaurant,POINT (30.0829331 -1.9598403),-1.9598403,30.082933100000005,1
restaurant,POINT (30.0818108 -1.9522267),-1.9522266999999998,30.081810800000003,1
bar,POINT (30.119294 -1.9969526),-1.9969526,30.119293999999996,1
cafe,POINT (30.0908973 -1.9416897),-1.9416897000000002,30.0908973,1
restaurant,POINT (30.1082852 -1.9755604),-1.9755604,30.108285199999997,1
cafe,POINT (30.0659408 -1.9557698),-1.9557697999999997,30.065940799999993,1
restaurant,POINT (30.061417 -1.9424688),-1.9424688000000003,30.061417,1
bar,POINT (30.059581 -1.9656686),-1.9656686000000003,30.059581000000005,1
restaurant,POINT (30.0608083 -1.942748),-1.942748,30.0608083,1
restaurant,POINT (30.0846998 -1.9358988),-1.9358987999999997,30.0846998,1
bank,POINT (30.0707225 -1.9240183),-1.9240183000000002,30.0707225,1
cafe,POINT (30.0769615 -1.9736591),-1.9736590999999999,30.0769615,1
supermarket,POINT (30.0587616 -1.9433162),-1.9433162,30.058761599999993,1
bank,POINT (30.0573625 -1.9469732),-1.9469732000000002,30.057362499999993,1
cafe,POINT (30.0722829 -1.9325187),-1.9325187,30.0722829,1
restaurant,POINT (30.0929006 -1.9528934),-1.9528934000000002,30.092900600000004,1
cafe,POINT (30.0914356 -1.9263555),-1.9263554999999999,30.091435599999997,1
restaurant,POINT (30.0919645 -1.9527306),-1.9527305999999998,30.0919645,1
restaurant,POINT (30.099766 -1.9434823),-1.9434823,30.099766000000002,1
restaurant,POINT (30.099734 -1.9435308),-1.9435307999999998,30.099733999999994,1
restaurant,POINT (30.0985556 -1.9330463),-1.9330462999999998,30.098555599999997,1
pharmacy,POINT (30.0775191 -1.9387313),-1.9387312999999997,30.077519099999996,1
supermarket,POINT (30.0773486 -1.9389566),-1.9389565999999996,30.077348599999997,1
supermarket,POINT (30.081003 -1.9493572),-1.9493571999999997,30.081003000000003,1
restaurant,POINT (30.0785332 -1.9473869),-1.9473869,30.078533200000003,1
cafe,POINT (30.1204608 -1.9618783),-1.9618783,30.120460799999993,1
restaurant,POINT (30.1054954 -1.9561038),-1.9561038,30.1054954,1
restaurant,POINT (30.1916201 -1.9938061),-1.9938061000000002,30.1916201,1
restaurant,POINT (30.1014296 -1.9375869),-1.9375869,30.1014296,1
